date,long_gross,short_gross,stock_gross,hedge_gross,gross_exposure,net_exposure,turnover,net_XLK_exposure
2021-12-08,0.05916305193684242,0.05,0.1,0.009163051936842415,0.10916305193684242,0.009163051936842415,0.10916305193684242,0.0
2021-12-09,0.10555043105078873,0.1,0.15000000000000002,0.05555043105078874,0.20555043105078877,0.005550431050788736,0.09638737911394632,0.0
2021-12-10,0.10598432474657796,0.1,0.15000000000000002,0.05598432474657795,0.20598432474657796,0.0059843247465779445,0.00043389369578920867,0.0
2021-12-13,0.09366485249520552,0.1,0.15000000000000002,0.04366485249520552,0.19366485249520554,-0.006335147504794483,0.11231947225137243,0.0
2021-12-14,0.05,0.07014456469293891,0.1,0.020144564692938904,0.12014456469293891,-0.020144564692938904,0.11380941718814443,0.0
2021-12-15,0.1,0.12098073056667698,0.15000000000000002,0.07098073056667698,0.220980730566677,-0.020980730566676972,0.10083616587373807,0.0
2021-12-16,0.1,0.11655064550905754,0.15000000000000002,0.06655064550905754,0.21655064550905756,-0.016550645509057535,0.004430085057619437,0.0
2021-12-17,0.13934054934819984,0.1,0.2,0.039340549348199846,0.23934054934819987,0.039340549348199846,0.2558911948572574,0.0
2021-12-20,0.15000000000000002,0.12232962472757901,0.2,0.072329624727579,0.27232962472757904,0.027670375272421,0.31167017407577885,0.0
2021-12-21,0.1,0.07354005409867007,0.15000000000000002,0.023540054098670056,0.17354005409867007,0.026459945901329947,0.09878957062890895,0.0
2021-12-22,0.1,0.0734862443558264,0.15000000000000002,0.0234862443558264,0.17348624435582644,0.026513755644173603,5.380974284365653e-05,0.0
2021-12-23,0.1,0.07293630799975837,0.15000000000000002,0.02293630799975837,0.1729363079997584,0.027063692000241633,0.0005499363560680301,0.0
2021-12-27,0.1,0.10338916563800452,0.1,0.10338916563800452,0.20338916563800452,-0.00338916563800451,0.13045285763824616,0.0
2021-12-28,0.05,0.04837232112135474,0.05,0.04837232112135474,0.09837232112135474,0.0016276788786452612,0.10501684451664978,0.0
2021-12-29,0.05,0.07905935751153086,0.1,0.029059357511530853,0.12905935751153086,-0.029059357511530853,0.06931296360982389,0.0
2021-12-30,0.06465748698318458,0.1,0.1,0.06465748698318458,0.16465748698318458,-0.03534251301681543,0.19371684449471543,0.0
2021-12-31,0.06492427947304492,0.1,0.1,0.06492427947304492,0.16492427947304494,-0.03507572052695508,0.00026679248986034854,0.0
2022-01-03,0.06551301103402524,0.1,0.1,0.06551301103402524,0.16551301103402524,-0.03448698896597477,0.0005887315609803129,0.0
2022-01-04,0.10920865718340897,0.15000000000000002,0.15000000000000002,0.10920865718340897,0.259208657183409,-0.04079134281659105,0.09369564614938374,0.0
2022-01-05,0.04666443319778349,0.05,0.05,0.04666443319778349,0.09666443319778349,-0.0033355668022165136,0.16254422398562549,0.0
2022-01-06,0.111536843134314,0.1,0.1,0.111536843134314,0.211536843134314,0.011536843134313995,0.11487240993653051,0.0
2022-01-07,0.12115054014423883,0.1,0.15000000000000002,0.07115054014423883,0.22115054014423885,0.021150540144238825,0.09038630299007518,0.0
2022-01-10,0.17544031510723873,0.15000000000000002,0.2,0.12544031510723871,0.3254403151072387,0.025440315107238695,0.2042897749629999,0.0
2022-01-11,0.1778396874196484,0.15000000000000002,0.2,0.12783968741964838,0.3278396874196484,0.02783968741964836,0.0023993723124096644,0.0
2022-01-12,0.11311171721273784,0.1,0.15000000000000002,0.06311171721273784,0.21311171721273786,0.013111717212737836,0.11472797020691054,0.0
2022-01-13,0.11292774321570172,0.1,0.15000000000000002,0.06292774321570171,0.21292774321570174,0.012927743215701712,0.00018397399703612427,0.0
2022-01-14,0.11538927807410185,0.1,0.15000000000000002,0.06538927807410184,0.21538927807410185,0.015389278074101842,0.00246153485840013,0.0
2022-01-18,0.15532956661163244,0.15000000000000002,0.2,0.10532956661163242,0.30532956661163246,0.005329566611632419,0.08994028853753058,0.0
2022-01-19,0.1553919598128224,0.15000000000000002,0.2,0.10539195981282237,0.3053919598128224,0.005391959812822367,6.239320118994751e-05,0.0
2022-01-20,0.10816097265915164,0.1,0.15000000000000002,0.05816097265915164,0.20816097265915168,0.008160972659151638,0.09723098715367073,0.0
2022-01-21,0.10764509524062521,0.1,0.15000000000000002,0.05764509524062521,0.20764509524062524,0.007645095240625205,0.0005158774185264337,0.0
2022-01-24,0.10558792325029687,0.1,0.15000000000000002,0.055587923250296864,0.2055879232502969,0.005587923250296861,0.0020571719903283436,0.0
